Alaska,12489
Alabama,183276
Arkansas,105318
American Samoa,0
Arizona,236772
California,892810
Colorado,93400
Connecticut,66052
District of Columbia,16706
Delaware,23847
Florida,766305
Federated States of Micronesia,0
Georgia,349605
Guam,4141
Hawaii,14501
Iowa,114631
Idaho,58694
Illinois,374907
Indiana,160454
Kansas,76230
Kentucky,95480
Louisiana,182603
Massachusetts,155919
Maryland,140279
Maine,6137
Michigan,175612
Minnesota,132122
Missouri,169495
Northern Mariana Islands,88
Mississippi,115316
Montana,27142
North Carolina,258292
North Dakota,37719
Nebraska,63215
New Hampshire,10238
New Jersey,227339
New Mexico,41040
Nevada,94812
New York,235930
New York City,260973
Ohio,195806
Oklahoma,122102
Oregon,41348
Pennsylvania,192622
Puerto Rico,62503
Palau,0
Rhode Island,30118
Republic of Marshall Islands,0
South Carolina,169341
South Dakota,38141
Tennessee,244087
Texas,858071
Utah,103117
Virginia,173371
Virgin Islands,1348
Vermont,2043
Washington,102264
Wisconsin,205139
West Virginia,21712
Wyoming,10805
